Country,Idcode,Data Source,Beverage Types,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,MeanValues
Australia,AUS, Data source, Other alcoholic beverages,,0.83,0.84,0.85,0.86,0.84,0.84,1.17,1.08,0.99,0.94,0.94,0,0,0.01,0.08,0.684666667
Austria,AUT, Data source, All types,,12.32,11.82,12.26,12.04,12.1,11.3,12,12.5,12.4,12.4,12.1,12.2,12.5,12.4,13.2,12.236
Austria,AUT, Data source, Beer,,6.25,6.03,6.27,6.09,6.1,6.2,6.4,6.4,6.7,6.07,6.7,6.4,6.4,6.6,6.8,6.360666667
Austria,AUT, Data source, Wine,,4.37,4.09,4.3,4.25,4.3,3.4,3.9,4.4,4.2,4.1,3.8,4.1,4.4,4.3,4.3,4.147333333
Austria,AUT, Data source, Spirits,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.5,2.1,1.686666667
Austria,AUT, Data source, Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE, Data source, All types,,,2.14,,1.98,1.98,2.1,1.18,1.02,0.85,0.73,0.62,0.55,0.55,0.51,0.65,1.143076923
Azerbaijan,AZE, Data source, Beer,,,0.19,,0.16,0.16,0.27,0.46,0.34,0.3,0.3,0.25,0.23,0.21,0.2,0.17,0.249230769
Azerbaijan,AZE, Data source, Wine,,,0.23,0.22,0.22,0.22,0.22,0.19,0.17,0.08,0.03,0.02,0.03,0.08,0.05,0.05,0.129285714
Azerbaijan,AZE, Data source, Spirits,,,1.63,,1.51,1.46,1.45,0.53,0.51,0.47,0.4,0.35,0.28,0.25,0.25,0.43,0.732307692
Azerbaijan,AZE, Data source, Other alcoholic beverages,,,0.09,0.09,0.09,0.14,0.16,0,0,0,0,0,0,0,0,0,0.040714286
Bahamas,BHS, Data source, All types,,9.45,9.42,9.5,9.34,9.19,9.29,10.15,10.75,11.07,10.49,10.1,10.68,10.85,11.64,12.15,10.27133333
Bahamas,BHS, Data source, Beer,,3.53,3.47,3.41,3.34,3.23,3.14,3.61,3.82,3.78,3.82,3.73,3.56,3.61,3.7,4.04,3.586
Bahamas,BHS, Data source, Wine,,1.6,1.61,1.64,1.54,1.46,1.56,1.66,1.89,2.12,1.51,1.28,1.56,1.46,1.83,1.79,1.634
Bahamas,BHS, Data source, Spirits,,3.96,3.99,4.09,4.1,4.12,4.15,4.41,4.54,4.64,4.64,4.54,5.53,5.75,6.08,6.29,4.722
Bahamas,BHS, Data source, Other alcoholic beverages,,0.36,0.35,0.36,0.36,0.38,0.43,0.47,0.51,0.53,0.52,0.56,0.03,0.03,0.03,0.03,0.33
Bahrain,BHR, Data source, All types,,1.57,1.65,1.7,1.66,1.93,1.95,2,2,2.1,2.05,2.16,2.16,1.99,1.95,2.15,1.934666667
Bahrain,BHR, Data source, Beer,,0.38,0.37,0.35,0.34,0.46,0.46,0.47,0.49,0.52,0.54,0.55,0.55,0.55,0.55,0.54,0.474666667
Bahrain,BHR, Data source, Wine,,0.13,0.12,0.11,0.12,0.11,0.14,0.13,0.26,0.23,0.19,0.21,0.14,0.19,0.15,0.3,0.168666667
Bahrain,BHR, Data source, Spirits,,1.04,1.14,1.23,1.19,1.36,1.34,1.39,1.24,1.34,1.31,1.38,1.46,1.24,1.25,1.31,1.281333333
Bahrain,BHR, Data source, Other alcoholic beverages,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.008666667
Bangladesh,BGD, Data source, All types,,,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0.005
Bangladesh,BGD, Data source, Beer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD, Data source, Wine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD, Data source, Spirits,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD, Data source, Other alcoholic beverages,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,BRB, Data source, All types,,8.82,8.74,8.61,8.51,8.41,8.46,8.95,8.47,8.39,8.01,7.68,7.65,7.59,7.38,7.43,8.206666667
Barbados,BRB, Data source, Beer,,3.42,3.4,3.39,3.34,3.3,3.15,3.43,3.14,3.28,3.22,2.98,2.9,2.91,2.9,2.76,3.168
Barbados,BRB, Data source, Wine,,0.83,0.87,0.79,0.89,0.93,0.89,1.05,1.12,0.92,0.75,0.68,0.72,0.55,0.49,0.61,0.806
Barbados,BRB, Data source, Spirits,,4.39,4.28,4.23,4.08,3.97,4.25,4.21,3.95,3.94,3.81,3.8,4,4.09,3.96,4.03,4.066
Barbados,BRB, Data source, Other alcoholic beverages,,0.18,0.18,0.2,0.21,0.21,0.17,0.26,0.26,0.25,0.22,0.22,0.03,0.03,0.03,0.03,0.165333333
Belarus,BLR, Data source, All types,,13.94,14.66,16.35,17.31,14.44,14.09,14.67,14.22,12.6,11.01,12.05,11.17,12.23,10.74,12.98,13.49733333
Belarus,BLR, Data source, Beer,,3.01,3.08,2.98,3.1,2.5,2.39,2.54,2.38,2.03,1.47,1.33,3.2,2.73,1.15,1.18,2.338
Belarus,BLR, Data source, Wine,,0.37,0.37,0.37,0.35,0.75,0.62,0.72,0.82,0.77,0.62,0.22,0.49,0.41,0.37,0.17,0.494666667
Belarus,BLR, Data source, Spirits,,5.97,6.45,8.32,8.16,6.73,6.82,6.92,6.06,5.22,4.21,3.63,3.8,4.75,4.75,5.02,5.787333333
Belarus,BLR, Data source, Other alcoholic beverages,,4.59,4.77,4.67,5.71,4.46,4.25,4.5,4.96,4.59,4.71,6.87,3.68,3.89,4.47,6.6,4.848
Belgium,BEL, Data source, All types,,12.6,11.77,10.08,10.11,10.22,10.05,10.47,10.25,10.98,12.27,12.05,11.28,11.29,11.01,11.21,11.04266667
Belgium,BEL, Data source, Beer,,6.21,5.81,4.79,4.89,5.02,4.94,5.04,5.21,5.61,6.07,5.95,6.14,6.09,6.08,6.15,5.6
Belgium,BEL, Data source, Wine,,4.53,4.26,3.73,3.71,3.71,3.66,3.83,4.27,4.37,4.22,4.26,4.06,4.26,3.99,4.05,4.060666667
Belgium,BEL, Data source, Spirits,,1.8,1.68,1.55,1.49,1.47,1.45,1.59,0.77,0.99,1.98,1.84,1.07,0.95,0.93,1,1.370666667
Belgium,BEL, Data source, Other alcoholic beverages,,0.05,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0,0.01,0,0,0,0,0.009333333
Belize,BLZ, Data source, All types,,6.58,6.56,6.66,6.64,6.76,6.85,7.22,7.24,6.48,6.25,6.2,5.67,4.99,4.9,4.79,6.252666667
Belize,BLZ, Data source, Beer,,4.34,4.34,4.37,4.43,4.52,4.53,4.86,4.88,4.12,3.96,3.98,3.7,3.09,2.95,2.83,4.06
Belize,BLZ, Data source, Wine,,0.2,0.17,0.2,0.14,0.13,0.17,0.14,0.16,0.12,0.14,0.12,0.15,0.11,0.14,0.14,0.148666667
Belize,BLZ, Data source, Spirits,,1.89,1.89,1.93,1.92,1.96,1.96,2.07,2.08,2.14,2.1,2.08,1.82,1.79,1.8,1.82,1.95
Belize,BLZ, Data source, Other alcoholic beverages,,0.15,0.16,0.16,0.15,0.16,0.19,0.15,0.13,0.11,0.06,0.02,0,0,0,0,0.096
Benin,BEN, Data source, All types,,,,,1.4,1.33,1.16,1.28,1.12,1.19,1.13,1.15,1.35,1.23,1.29,1.34,1.2475
Benin,BEN, Data source, Beer,,,,,0.79,0.67,0.62,0.62,0.55,0.53,0.51,0.53,0.7,0.73,0.66,0.54,0.620833333
Benin,BEN, Data source, Wine,,,,,0.22,0.25,0.2,0.16,0.17,0.17,0.14,0.12,0.12,0.1,0.12,0.12,0.1575
Benin,BEN, Data source, Spirits,,,,,0.16,0.16,0.15,0.25,0.1,0.19,0.16,0.15,0.19,0.02,0.13,0.31,0.164166667
Benin,BEN, Data source, Other alcoholic beverages,,,,,0.23,0.25,0.2,0.25,0.3,0.3,0.33,0.34,0.35,0.38,0.38,0.37,0.306666667
Bhutan,BTN, Data source, All types,,,,,0.23,0.28,0.17,0.21,0.16,0.29,0.73,0.96,0.52,0.29,0.14,0.17,0.345833333
Bhutan,BTN, Data source, Beer,,,,,0.18,0.11,0.12,0.13,0.12,0.25,0.36,0.62,0.49,0.29,0.14,0.17,0.248333333
Bhutan,BTN, Data source, Wine,,,,,0.05,0.07,0.02,0.06,0.02,0.02,0.01,0,0,0,0,0,0.020833333
Bhutan,BTN, Data source, Spirits,,,,,0,0.1,0.03,0.02,0.02,0.02,0.36,0.34,0.03,0,0,0,0.076666667
Bhutan,BTN, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),BOL, Data source, All types,,3.62,3.78,3.89,3.93,3.95,3.87,3.77,3.47,3.23,2.86,2.66,2.37,2.26,2.2,2.32,3.212
Bolivia (Plurinational State of),BOL, Data source, Beer,,2.73,2.73,2.81,2.84,2.96,2.94,2.78,2.54,2.35,2.14,2,1.7,1.58,1.55,1.68,2.355333333
Bolivia (Plurinational State of),BOL, Data source, Wine,,0.03,0.17,0.22,0.24,0.23,0.23,0.27,0.25,0.25,0.14,0.1,0.1,0.06,0.06,0.07,0.161333333
Bolivia (Plurinational State of),BOL, Data source, Spirits,,0.82,0.83,0.82,0.81,0.74,0.69,0.71,0.66,0.62,0.58,0.56,0.57,0.62,0.59,0.56,0.678666667
Bolivia (Plurinational State of),BOL, Data source, Other alcoholic beverages,,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0.019333333
Bosnia and Herzegovina,BIH, Data source, All types,,4.03,4.12,4.61,4.64,4.54,4.75,5.13,5.16,4.82,4.56,4.25,4.14,3.84,3.85,3.64,4.405333333
Bosnia and Herzegovina,BIH, Data source, Beer,,3.2,3.28,3.5,3.43,3.33,3.5,3.8,3.77,3.57,3.34,3.03,2.87,2.65,2.61,2.57,3.23
Bosnia and Herzegovina,BIH, Data source, Wine,,0.15,0.15,0.39,0.45,0.45,0.51,0.56,0.6,0.47,0.43,0.42,0.42,0.33,0.4,0.21,0.396
Bosnia and Herzegovina,BIH, Data source, Spirits,,0.54,0.55,0.59,0.63,0.63,0.61,0.64,0.64,0.63,0.66,0.68,0.86,0.87,0.85,0.85,0.682
Bosnia and Herzegovina,BIH, Data source, Other alcoholic beverages,,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0,0,0,0,0.098
Botswana,BWA, Data source, All types,,,,,5.76,5.99,5.01,6.56,6.21,6.45,6.37,4.9,5.51,6.41,5.48,5.37,5.835
Botswana,BWA, Data source, Beer,,,,,2.39,3.36,2.35,2.22,2.68,2.67,2.58,2.47,2.39,2.6,2.69,2.3,2.558333333
Botswana,BWA, Data source, Wine,,,,,0.59,0.75,0.73,1.16,1.86,1.43,0.91,0.45,0.46,0.53,0.23,0.34,0.786666667
Botswana,BWA, Data source, Spirits,,,,,1.58,0.67,0.69,2.13,0.5,1.08,1.01,0,0.82,1.22,0.36,0.54,0.883333333
Botswana,BWA, Data source, Other alcoholic beverages,,,,,1.2,1.21,1.23,1.05,1.18,1.27,1.86,1.98,1.84,2.06,2.2,2.19,1.605833333
Brazil,BRA, Data source, All types,,7.32,7.24,7.55,7.58,7.52,7.33,7.21,7.19,7.1,6.97,6.85,6.95,7,7.13,7.26,7.213333333
Brazil,BRA, Data source, Beer,,4.64,4.45,4.61,4.49,4.42,4.15,3.84,3.74,3.56,3.36,3.22,3.18,3.32,3.34,3.33,3.843333333
Brazil,BRA, Data source, Wine,,0.27,0.27,0.33,0.42,0.4,0.39,0.37,0.38,0.41,0.5,0.4,0.4,0.3,0.29,0.31,0.362666667
Brazil,BRA, Data source, Spirits,,2.39,2.49,2.57,2.63,2.66,2.76,2.96,3.04,3.09,3.08,3.19,3.36,3.37,3.49,3.61,2.979333333
Brazil,BRA, Data source, Other alcoholic beverages,,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.028
Brunei Darussalam,BRN, Data source, All types,,,,,0.97,0.88,0.25,0.67,0.85,0.67,0.16,0.11,0.12,0.13,0.47,0.37,0.470833333
Brunei Darussalam,BRN, Data source, Beer,,,,,0.85,0.82,0.18,0.59,0.76,0.5,0.09,0.08,0.09,0.09,0.2,0.19,0.37
Brunei Darussalam,BRN, Data source, Wine,,,,,0.05,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.04,0.03,0.023333333
Brunei Darussalam,BRN, Data source, Spirits,,,,,0.05,0.03,0.05,0.05,0.06,0.11,0.05,0.01,0.02,0.03,0.23,0.15,0.07
Brunei Darussalam,BRN, Data source, Other alcoholic beverages,,,,,0.02,0.01,0.01,0.01,0.01,0.03,0,0,0,0,0,0.4,0.040833333
Bulgaria,BGR, Data source, All types,,12.03,12.06,10.99,10.67,10.8,10.93,10.98,10.89,10.39,10.48,10.96,11.19,10.2,10.72,9.69,10.86533333
Bulgaria,BGR, Data source, Beer,,4.31,4.27,4.3,4.09,4.01,4.03,4.41,4.41,3.96,3.56,3.52,3.3,2.98,3.22,2.99,3.824
Bulgaria,BGR, Data source, Wine,,2.87,2.86,1.65,1.37,1.73,2.02,1.73,1.7,1.58,1.95,2.09,2.93,2.34,2.73,2.05,2.106666667
Bulgaria,BGR, Data source, Spirits,,4.78,4.88,4.99,5.16,5.02,4.84,4.8,4.73,4.8,4.93,5.29,4.96,4.88,4.77,4.65,4.898666667
Bulgaria,BGR, Data source, Other alcoholic beverages,,0.08,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0,0,0,0,0.037333333
Burkina Faso,BFA, Data source, All types,,,4.64,4.75,4.51,4.55,4.55,4.5,4.58,4.73,4.88,4.54,4.58,4.53,4.56,3.71,4.543571429
Burkina Faso,BFA, Data source, Beer,,,0.67,0.63,0.53,0.46,0.46,0.46,0.45,0.44,0.44,0.42,0.41,0.41,0.39,0.4,0.469285714
Burkina Faso,BFA, Data source, Wine,,,0.1,0.18,0.16,0.12,0.08,0.07,0.07,0.09,0.09,0.1,0.07,0.08,0.08,0.04,0.095
Burkina Faso,BFA, Data source, Spirits,,,0.24,0.2,0.13,0.12,0.14,0.13,0.2,0.5,0.43,0.17,0.21,0.27,0.23,0.29,0.232857143
Burkina Faso,BFA, Data source, Other alcoholic beverages,,,3.63,3.73,3.68,3.84,3.86,3.84,3.85,3.7,3.92,3.85,3.89,3.77,3.86,2.99,3.743571429
Burundi,BDI, Data source, All types,,,,,4.16,4.16,4.05,4.33,4.54,4.5,5.54,5.72,5.84,5.98,6.09,6.61,5.126666667
Burundi,BDI, Data source, Beer,,,,,1.63,1.59,1.37,1.4,1.42,1.4,1.19,1.19,1.13,1.02,1,1.46,1.316666667
Burundi,BDI, Data source, Wine,,,,,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.004166667
Burundi,BDI, Data source, Spirits,,,,,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0.001666667
Burundi,BDI, Data source, Other alcoholic beverages,,,,,2.51,2.56,2.68,2.93,3.11,3.1,4.34,4.51,4.7,4.95,5.07,5.14,3.8
Cabo Verde,CPV, Data source, All types,,,,,5.07,4.75,4.45,4.16,5.28,4.25,4.26,4.19,4.16,3.82,3.81,3.49,4.3075
Cabo Verde,CPV, Data source, Beer,,,,,2.82,2.51,2.2,1.97,2.03,1.92,2.19,1.9,2.32,2.08,2.12,2.09,2.179166667
Cabo Verde,CPV, Data source, Wine,,,,,1.55,1.62,1.76,1.89,2.52,1.87,1.93,1.78,1.39,1.47,1.23,0.95,1.663333333
Cabo Verde,CPV, Data source, Spirits,,,,,0.7,0.61,0.48,0.31,0.73,0.46,0.14,0.51,0.44,0.26,0.46,0.45,0.4625
Cabo Verde,CPV, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.001666667
Cambodia,KHM, Data source, All types,,,,,2.12,2.2,2.13,2.24,2.08,2.03,1.99,1.38,1.44,1.43,1.71,1.51,1.855
Cambodia,KHM, Data source, Beer,,,,,1.35,0.91,0.94,0.95,0.89,0.81,0.76,0.28,0.28,0.25,0.26,0.29,0.664166667
Cambodia,KHM, Data source, Wine,,,,,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0,0.01,0.013333333
Cambodia,KHM, Data source, Spirits,,,,,0.75,1.27,1.18,1.27,1.18,1.21,1.21,1.09,1.16,1.17,1.44,1.21,1.178333333
Cambodia,KHM, Data source, Other alcoholic beverages,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR, Data source, All types,,,,,6.19,6.15,5.89,5.9,5.44,5.22,5.03,4.71,4.64,4.58,4.43,3.91,5.174166667
Cameroon,CMR, Data source, Beer,,,,,2.49,2.53,2.71,2.29,2.11,2.08,2.1,2.41,2.36,2.35,2.27,2.07,2.314166667
Cameroon,CMR, Data source, Wine,,,,,0.11,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.081666667
Cameroon,CMR, Data source, Spirits,,,,,0,0,0.01,0.06,0.06,0.05,0,0,0,0,0,0,0.015
Cameroon,CMR, Data source, Other alcoholic beverages,,,,,3.59,3.53,3.1,3.47,3.19,3.02,2.85,2.22,2.2,2.15,2.07,1.77,2.763333333
Canada,CAN, Data source, All types,,8.1,8.2,8.3,8.2,8.4,8.4,8.3,8.3,8.2,8,7.8,7.7,7.7,7.6,7.6,8.053333333
Canada,CAN, Data source, Beer,,3.8,3.9,4,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.133333333
Canada,CAN, Data source, Wine,,2,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.713333333
Canada,CAN, Data source, Spirits,,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1,2.086666667
Canada,CAN, Data source, Other alcoholic beverages,,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,No data,0,0,0,0,0.15
Central African Republic,CAF, Data source, All types,,,,,1.66,1.67,1.56,1.52,1.5,1.54,1.5,1.5,1.49,1.47,1.52,1.51,1.536666667
Central African Republic,CAF, Data source, Beer,,,,,0.33,0.29,0.3,0.32,0.28,0.27,0.22,0.26,0.28,0.3,0.38,0.42,0.304166667
Central African Republic,CAF, Data source, Wine,,,,,0.02,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.02,0.02,0.03,0.03,0.021666667
Central African Republic,CAF, Data source, Spirits,,,,,0.02,0.04,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.04,0.02,0.030833333
Central African Republic,CAF, Data source, Other alcoholic beverages,,,,,1.29,1.33,1.21,1.17,1.17,1.15,1.23,1.19,1.15,1.12,1.08,1.04,1.1775
Chad,TCD, Data source, All types,,,0.64,0.62,0.56,0.5,0.47,0.45,0.42,0.41,0.42,0.34,0.42,0.36,0.3,0.25,0.44
Chad,TCD, Data source, Beer,,,0.43,0.38,0.38,0.32,0.31,0.3,0.27,0.23,0.24,0.23,0.25,0.22,0.18,0.17,0.279285714
Chad,TCD, Data source, Wine,,,0.05,0.05,0.02,0.02,0.01,0,0,0.01,0,0.01,0,0,0,0,0.012142857
Chad,TCD, Data source, Spirits,,,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0,0,0.023571429
Chad,TCD, Data source, Other alcoholic beverages,,,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.15,0.15,0.08,0.14,0.1,0.11,0.08,0.122857143
Chile,CHL, Data source, All types,,7.16,7.2,6.76,7.26,7.93,7.67,7.31,7.39,7.33,7.57,6.32,6.37,6.06,6.1,6.24,6.978
Chile,CHL, Data source, Beer,,2.65,2.6,2.48,2.46,2.37,2.32,2.43,2.34,2.26,2.01,1.83,1.8,1.76,1.78,1.79,2.192
Chile,CHL, Data source, Wine,,2.65,2.65,2.22,2.67,3.23,2.85,2.17,2.83,2.22,2.59,2.54,2.6,2.39,2.38,2.45,2.562666667
Chile,CHL, Data source, Spirits,,1.63,1.71,1.83,1.91,2.33,2.5,2.71,2.22,2.85,2.97,1.95,1.96,1.9,1.91,1.97,2.156666667
